﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
CE,QUIXADÁ,MEDICINA,CENTRO UNIVERSITÁRIO ESTÁCIO DO CEARÁ (1107),"TIPOS DE CONCORRÊNCIA Ampla",734.88,663.92,659.18,
CE,SOBRAL,MEDICINA,CENTRO UNIVERSITÁRIO INTA (2111),"TIPOS DE CONCORRÊNCIA Ampla",774.02,700.7,,
CE,SOBRAL,MEDICINA,FACULDADE 05 DE JULHO (17394),"TIPOS DE CONCORRÊNCIA Ampla",748.92,674.86,538.62,
CE,SOBRAL,MEDICINA,FACULDADE LUCIANO FEIJÃO (3862),"TIPOS DE CONCORRÊNCIA Ampla",758.5,663.88,486.66,
CE,TIANGUÁ,MEDICINA,FACULDADE UNINTA TIANGUA (20548),,,654.5,590.82,
CE,TIANGUÁ,MEDICINA,FACULDADE VIA SAPIENS (19597),"TIPOS DE CONCORRÊNCIA Ampla",757.42,681.48,,
DF,BRASÍLIA,MEDICINA,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS (5439),"TIPOS DE CONCORRÊNCIA Ampla",753.16,694.96,572.58,
DF,BRASÍLIA,MEDICINA,CENTRO UNIVERSITÁRIO EURO-AMERICANO (1113),,,,667.1,
ES,CACHOEIRO DE ITAPEMIRIM,MEDICINA,FACULDADE BRASILEIRA DE CACHOEIRO (23318),"TIPOS DE CONCORRÊNCIA Ampla",736.24,716.26,622.64,
ES,CARIACICA,MEDICINA,FACULDADE MULTIVIX CARIACICA (2537),"TIPOS DE CONCORRÊNCIA Ampla",639.96,652.5,,
ES,SERRA,MEDICINA,CENTRO UNIVERSITÁRIO MULTIVIX SERRA (1326),"TIPOS DE CONCORRÊNCIA Ampla",689.2,634.24,,
ES,SÃO MATEUS,MEDICINA,FACULDADE MULTIVIX SÃO MATEUS (10685),"TIPOS DE CONCORRÊNCIA Ampla",761.06,668.38,654.6,
ES,VILA VELHA,MEDICINA,UNIVERSIDADE VILA VELHA (664),"TIPOS DE CONCORRÊNCIA Ampla",721.62,725.78,678.24,
ES,VITÓRIA,MEDICINA,CENTRO UNIVERSITÁRIO MULTIVIX VITÓRIA (1244),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",732.34,678.9,,
GO,ANÁPOLIS,MEDICINA,UNIVERSIDADE EVANGÉLICA DE GOIÁS (384),,,751.58,685.12,
GO,APARECIDA DE GOIÂNIA,MEDICINA,CENTRO UNIVERSITÁRIO ALFREDO NASSER (1573),"TIPOS DE CONCORRÊNCIA Ampla",706.56,611.64,,
GO,GOIÂNIA,MEDICINA,CENTRO UNIVERSITÁRIO ALFREDO NASSER (1573),"TIPOS DE CONCORRÊNCIA Ampla",706.56,611.64,,
GO,INHUMAS,MEDICINA,CENTRO UNIVERSITÁRIO MAIS (4259),"TIPOS DE CONCORRÊNCIA Ampla",694.44,653.34,,
GO,ITUMBIARA,MEDICINA,FACULDADE ZARNS - ITUMBIARA (23454),"TIPOS DE CONCORRÊNCIA Ampla",671.36,598.02,619.24,
GO,MINEIROS,MEDICINA,CENTRO UNIVERSITÁRIO DE MINEIROS (4396),"TIPOS DE CONCORRÊNCIA Ampla",689.3,642.72,,
GO,QUIRINÓPOLIS,MEDICINA,FACULDADE QUIRINÓPOLIS (3252),,,615.1,553.44,
GO,TRINDADE,MEDICINA,CENTRO UNIVERSITÁRIO DE MINEIROS (4396),"TIPOS DE CONCORRÊNCIA Ampla",743.5,691.24,,
MA,AÇAILÂNDIA,MEDICINA,FACULDADE DE MEDICINA DE AÇAILÂNDIA (24446),"TIPOS DE CONCORRÊNCIA Ampla",720.6,671.66,618.58,
MA,CAXIAS,MEDICINA,CENTRO UNIVERSITÁRIO DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO (4964),"TIPOS DE CONCORRÊNCIA Ampla",743.44,692.92,682.6,
MA,IMPERATRIZ,MEDICINA,UNIVERSIDADE CEUMA (823),"TIPOS DE CONCORRÊNCIA Ampla",756.64,719.58,658.02,
MA,SÃO LUÍS,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE SÃO LUÍS (17284),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",759.92,635.1,,
