﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
RJ,VOLTA REDONDA,MEDICINA,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (489),5,"TIPOS DE CONCORRÊNCIA Ampla",771.50,569.18,
RN,MOSSORÓ,MEDICINA,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN (4431),5,"TIPOS DE CONCORRÊNCIA Ampla",709.72,742.02,605.38
RN,NATAL,MEDICINA,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE (1264),5,"TIPOS DE CONCORRÊNCIA Ampla",715.18,641.84,642.18
RN,NATAL,MEDICINA,UNIVERSIDADE POTIGUAR (718),4,"TIPOS DE CONCORRÊNCIA Ampla",721.64,637.58,614.82
RS,CACHOEIRINHA,MEDICINA,CENTRO UNIVERSITÁRIO CESUCA (3443),5,"TIPOS DE CONCORRÊNCIA Ampla",692.74,585.22,694.30
RS,CAXIAS DO SUL,MEDICINA,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (1427),5,"TIPOS DE CONCORRÊNCIA Ampla",638.56,575.86,528.28
RS,GETÚLIO VARGAS,MEDICINA,CENTRO UNIVERSITÁRIO IDEAU (3339),5,"TIPOS DE CONCORRÊNCIA Ampla",706.72,554.66,505.30
RS,LAJEADO,MEDICINA,UNIVERSIDADE DO VALE DO TAQUARI (1041),5,"TIPOS DE CONCORRÊNCIA Ampla",651.34,673.36,
RO,ARIQUEMES,MEDICINA,CENTRO UNIVERSITÁRIO FAEMA (4613),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",614.52,647.74,603.32
RO,CACOAL,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CACOAL (1917),4,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",696.76,567.46,553.86
RO,JARU,MEDICINA,FACULDADE DE EDUCAÇÃO DE JARU (1699),4,"TIPOS DE CONCORRÊNCIA Ampla",650.18,564.26,616.74
RO,JI-PARANÁ,MEDICINA,FACULDADE DE MEDICINA DE JI-PARANÁ (24676),0,"TIPOS DE CONCORRÊNCIA Ampla",658.78,677.80,666.28
RO,PORTO VELHO,MEDICINA,AFYA CENTRO UNIVERSITÁRIO SÃO LUCAS (1414),5,"TIPOS DE CONCORRÊNCIA Ampla",659.94,596.18,638.56
RO,PORTO VELHO,MEDICINA,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO (1087),3,"TIPOS DE CONCORRÊNCIA Ampla",678.20,623.24,655.66
RO,PORTO VELHO,MEDICINA,FACULDADE METROPOLITANA (2058),5,"TIPOS DE CONCORRÊNCIA Ampla",658.48,588.22,645.06
RO,VILHENA,MEDICINA,FACULDADE UNINASSAU VILHENA (11645),4,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",561.80,557.76,509.98
RO,VILHENA,MEDICINA,FACULDADES INTEGRADAS APARÍCIO CARVALHO VILHENA (19172),4,"TIPOS DE CONCORRÊNCIA Ampla",635.86,563.56,499.88
SC,CAÇADOR,MEDICINA,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE (15032),5,,,476.18,
SC,CHAPECÓ,MEDICINA,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ (3151),4,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",582.28,650.22,539.80
SC,JARAGUÁ DO SUL,MEDICINA,FACULDADE ESTÁCIO DE JARAGUÁ DO SUL (22191),5,"TIPOS DE CONCORRÊNCIA Ampla",635.52,596.90,569.10
SC,JOINVILLE,MEDICINA,FACULDADE CENSUPEG (22578),5,"TIPOS DE CONCORRÊNCIA Ampla",686.54,613.44,618.56
SC,JOINVILLE,MEDICINA,FACULDADE LIFE UNIC EDUCATION (24996),5,"TIPOS DE CONCORRÊNCIA Ampla",607.74,500.66,516.04
SC,PALHOÇA,MEDICINA,UNIVERSIDADE DO SUL DE SANTA CATARINA (494),5,"TIPOS DE CONCORRÊNCIA Ampla",666.74,584.08,625.16
SC,TUBARÃO,MEDICINA,UNIVERSIDADE DO SUL DE SANTA CATARINA (494),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",641.30,592.20,537.18
SP,ARAÇATUBA,MEDICINA,CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM (4522),4,"TIPOS DE CONCORRÊNCIA Ampla",668.84,645.72,
SP,AVARÉ,MEDICINA,CENTRO UNIVERSITÁRIO SUDOESTE PAULISTA (1317),4,"TIPOS DE CONCORRÊNCIA Ampla",556.96,589.40,506.92
SP,BARRETOS,MEDICINA,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA (14892),5,"TIPOS DE CONCORRÊNCIA Ampla",739.10,734.76,632.74
SP,BAURU,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",564.56,696.60,
SP,CAMPINAS,MEDICINA,UNIVERSIDADE PAULISTA (322),0,"TIPOS DE CONCORRÊNCIA Ampla",578.54,618.16,640.22
SP,CAMPO LIMPO PAULISTA,MEDICINA,CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA (1273),4,"TIPOS DE CONCORRÊNCIA Ampla",699.06,602.08,516.00
SP,CUBATÃO,MEDICINA,UNIVERSIDADE SÃO JUDAS TADEU (203),5,"TIPOS DE CONCORRÊNCIA Ampla",687.54,583.02,685.92
SP,DRACENA,MEDICINA,FACULDADES DE DRACENA (1420),4,"TIPOS DE CONCORRÊNCIA Ampla",706.72,622.72,577.18
SP,FERNANDÓPOLIS,MEDICINA,UNIVERSIDADE BRASIL (319),5,"TIPOS DE CONCORRÊNCIA Ampla",628.66,601.94,591.50
SP,FRANCA,MEDICINA,UNIVERSIDADE DE FRANCA (496),5,"TIPOS DE CONCORRÊNCIA Ampla",670.48,591.40,591.40
SP,GUARUJÁ,MEDICINA,UNIVERSIDADE DE RIBEIRÃO PRETO (208),5,"TIPOS DE CONCORRÊNCIA Ampla",668.54,552.52,544.44
SP,GUARUJÁ,MEDICINA,UNIVERSIDADE DO OESTE PAULISTA (271),5,"TIPOS DE CONCORRÊNCIA Ampla",615.50,588.06,568.34
SP,GUARULHOS,MEDICINA,CENTRO UNIVERSITÁRIO DE EXCELÊNCIA ENIAC (1892),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",564.74,606.56,606.56
SP,GUARULHOS,MEDICINA,FACULDADE DE GUARULHOS (2530),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",530.28,607.36,592.56
SP,GUARULHOS,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",601.96,509.96,458.00
SP,GUARULHOS,MEDICINA,UNIVERSIDADE SANTO AMARO (375),5,"TIPOS DE CONCORRÊNCIA Ampla",609.30,520.70,528.40
SP,HORTOLÂNDIA,MEDICINA,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (1365),5,,,586.36,
SP,ITU,MEDICINA,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO (1149),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",506.92,577.28,
SP,JAÚ,MEDICINA,UNIVERSIDADE DO OESTE PAULISTA (271),5,"TIPOS DE CONCORRÊNCIA Ampla",692.18,629.24,551.52
SP,LORENA,MEDICINA,CENTRO DE ENSINO SUPERIOR DE LORENA (24024),5,"TIPOS DE CONCORRÊNCIA Ampla",635.92,527.90,
SP,MAUÁ,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",601.96,509.96,458.00
SP,MOGI DAS CRUZES,MEDICINA,UNIVERSIDADE DE MOGI DAS CRUZES (521),5,"TIPOS DE CONCORRÊNCIA Ampla",637.60,,
SP,OSASCO,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",601.96,509.96,458.00
SP,PENÁPOLIS,MEDICINA,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS (68),4,"TIPOS DE CONCORRÊNCIA Ampla",658.80,632.12,645.56
SP,PINDAMONHANGABA,MEDICINA,CENTRO UNIVERSITÁRIO FUNVIC (2494),4,"TIPOS DE CONCORRÊNCIA Ampla",599.78,586.50,614.98
SP,PIRACICABA,MEDICINA,UNIVERSIDADE ANHEMBI MORUMBI (466),5,"TIPOS DE CONCORRÊNCIA Ampla",637.40,590.92,579.14
SP,PRESIDENTE PRUDENTE,MEDICINA,UNIVERSIDADE DO OESTE PAULISTA (271),5,"TIPOS DE CONCORRÊNCIA Ampla",721.94,633.82,699.04
SP,RIBEIRÃO PRETO,MEDICINA,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO (1270),4,"TIPOS DE CONCORRÊNCIA Ampla",605.94,560.46,588.88
SP,RIO CLARO,MEDICINA,CLARETIANO - CENTRO UNIVERSITÁRIO (1854),4,"TIPOS DE CONCORRÊNCIA Ampla",727.96,627.42,565.36
SP,SANTA FÉ DO SUL,MEDICINA,CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL (1356),0,,,667.00,671.96
SP,SANTANA DE PARNAÍBA,MEDICINA,UNIVERSIDADE PAULISTA (322),0,"TIPOS DE CONCORRÊNCIA Ampla",529.84,576.90,646.38
SP,SOROCABA,MEDICINA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO (546),5,"TIPOS DE CONCORRÊNCIA Ampla",754.66,695.72,709.30
SP,SOROCABA,MEDICINA,UNIVERSIDADE PAULISTA (322),0,"TIPOS DE CONCORRÊNCIA Ampla",720.16,701.36,
SP,SÃO BERNARDO DO CAMPO,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",601.96,601.96,458.00
SP,SÃO JOSÉ DO RIO PARDO,MEDICINA,UNIVERSIDADE PAULISTA (322),0,"TIPOS DE CONCORRÊNCIA Ampla",578.54,618.16,640.22
SP,SÃO JOSÉ DO RIO PRETO,MEDICINA,UNIÃO DAS FACULDADES DOS GRANDES LAGOS (1046),4,"TIPOS DE CONCORRÊNCIA Ampla",726.92,608.18,563.16
SP,SÃO JOSÉ DOS CAMPOS,MEDICINA,FACULDADE DE CIÊNCIAS MÉDICAS DE SÃO JOSÉ DOS CAMPOS (17887),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",779.44,700.94,
SP,SÃO JOSÉ DOS CAMPOS,MEDICINA,UNIVERSIDADE ANHEMBI MORUMBI (466),5,"TIPOS DE CONCORRÊNCIA Ampla",596.28,527.36,544.10
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE ANHEMBI MORUMBI (466),5,"TIPOS DE CONCORRÊNCIA Ampla",628.30,558.62,512.04
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE CIDADE DE SÃO PAULO (417),5,"TIPOS DE CONCORRÊNCIA Ampla",614.02,539.90,569.20
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE NOVE DE JULHO (316),5,"TIPOS DE CONCORRÊNCIA Ampla",601.96,509.96,458.00
SP,SÃO PAULO,MEDICINA,UNIVERSIDADE SANTO AMARO (375),5,"TIPOS DE CONCORRÊNCIA Ampla",609.30,520.70,528.40
SE,ARACAJU,MEDICINA,UNIVERSIDADE TIRADENTES (398),5,"TIPOS DE CONCORRÊNCIA Ampla",759.66,739.10,662.92
SE,ESTÂNCIA,MEDICINA,UNIVERSIDADE TIRADENTES (398),5,"TIPOS DE CONCORRÊNCIA Ampla",759.66,739.10,662.92
TO,ARAGUAÍNA,MEDICINA,FACULDADE DE CIÊNCIAS DO TOCANTINS (14947),4,"TIPOS DE CONCORRÊNCIA Ampla",716.52,614.88,524.58
TO,PALMAS,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE PALMAS (16728),5,"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",748.64,713.94,695.74
TO,PARAÍSO DO TOCANTINS,MEDICINA,UNIVERSIDADE DE GURUPI (750),0,"TIPOS DE CONCORRÊNCIA Ampla",730.94,702.32,
TO,PORTO NACIONAL,MEDICINA,AFYA FACULDADE DE PORTO NACIONAL (5544),4,"TIPOS DE CONCORRÊNCIA Ampla",710.86,590.66,657.10
MA,SÃO LUÍS,MEDICINA,FACULDADE DE CIÊNCIAS E SAÚDE ESTÁCIO IDOMED		 (20105),4,,,650.90,705.94
PR,MARINGÁ,MEDICINA,CENTRO UNIVERSITÁRIO INGÁ (1430),4,  Ver Detalhes,710.00,565.56,
PE,JABOATÃO DOS GUARARAPES,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE JABOATÃO DOS GUARARAPES  (22514),5,  Ver Detalhes,718.96,664.76,
AC,CRUZEIRO DO SUL,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CRUZEIRO DO SUL (24547),social,0,  Ver Detalhes,724.06,673.16,666.62
