estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
MG,BELO HORIZONTE,MEDICINA,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE (349),5,779.94,730.94,703.44
MG,BELO HORIZONTE,MEDICINA,CENTRO UNIVERSITÁRIO FAMINAS BELO HORIZONTE (3194),5,778.06,730.92,
MG,BELO HORIZONTE,MEDICINA,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO (30),5,776.04,732.76,719.36
MG,CARATINGA,MEDICINA,CENTRO UNIVERSITÁRIO DE CARATINGA (3966),4,765.28,755.36,649.08
MG,CONTAGEM,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CONTAGEM (14161),5,741.02,727.86,715.58
MG,GOVERNADOR VALADARES,MEDICINA,UNIVERSIDADE VALE DO RIO DOCE (513),5,,772.50,732.18
MG,ITABIRA,MEDICINA,CENTRO UNIVERSITÁRIO FUNCESI (545),5,770.04,739.30,707.08
MG,ITAJUBÁ,MEDICINA,AFYA FACULDADE DE MEDICINA DE ITAJUBÁ (284),5,765.92,684.76,699.64
MG,ITUIUTABA,MEDICINA,FACULDADE MAIS DE ITUIUTABA (507),4,735.86,658.32,
MG,JUIZ DE FORA,MEDICINA,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA (2843),5,,718.94,
MG,MANHUAÇU,MEDICINA,CENTRO UNIVERSITÁRIO UNIFACIG (1984),4,758.94,723.26,509.02
MG,MATIPÓ,MEDICINA,CENTRO UNIVERSITÁRIO VÉRTICE (4846),5,752.82,713.64,
MG,MONTES CLAROS,MEDICINA,CENTRO UNIVERSITÁRIO DO NORTE DE MINAS (1600),4,781.78,737.48,735.34
MG,MURIAÉ,MEDICINA,CENTRO UNIVERSITÁRIO FAMINAS (1913),5,757.10,752.74,704.58
MG,PARACATU,MEDICINA,CENTRO UNIVERSITÁRIO ATENAS (2579),5,765.50,653.72,645.80
MG,PASSOS,MEDICINA,FACULDADE ATENAS PASSOS (22197),4,755.96,753.04,604.26
MG,PONTE NOVA,MEDICINA,FACULDADE DINÂMICA DO VALE DO PIRANGA (2636),4,720.10,,589.34
MG,POUSO ALEGRE,MEDICINA,FACULDADE ZARNS - POUSO ALEGRE (11860),5,722.02,649.36,643.26
MG,SETE LAGOAS,MEDICINA,FACULDADE ATENAS SETE LAGOAS (22194),5,482.28,668.00,728.52
MG,TEÓFILO OTONI,MEDICINA,CENTRO UNIVERSITÁRIO ALFAUNIPAC (14156),5,,752.20,628.92
MG,UBERABA,MEDICINA,UNIVERSIDADE DE UBERABA (143),4,782.66,,762.96
MG,UBERLÂNDIA,MEDICINA,CENTRO UNIVERSITÁRIO DO TRABALHO (4910),4,,697.68,
MG,UBÁ,MEDICINA,AFYA FACULDADE DE MEDICINA DE ITAJUBÁ (284),5,765.92,684.76,699.64
MG,VESPASIANO,MEDICINA,FACULDADE DA SAÚDE E ECOLOGIA HUMANA (1664),5,740.34,673.96,679.36
PA,ABAETETUBA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ABAETETUBA (25307),0,732.36,714.86,693.18
PA,ABAETETUBA,MEDICINA,ESCOLA SUPERIOR DA AMAZÔNIA DE ABAETETUBA (22317),5,729.06,695.80,626.76
PA,ALTAMIRA,MEDICINA,CENTRO DE ENSINO SUPERIOR DE ALTAMIRA (23973),4,757.64,678.44,663.02
PA,BELÉM,MEDICINA,CENTRO UNIVERSITÁRIO DA AMAZÔNIA (2745),4,772.30,740.28,648.08
PA,BELÉM,MEDICINA,CENTRO UNIVERSITÁRIO FIBRA (2426),4,780.28,765.44,759.86
PA,BELÉM,MEDICINA,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA (4450),5,,748.24,
PA,BRAGANÇA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE BRAGANÇA (25261),0,764.42,700.52,583.14
PA,CASTANHAL,MEDICINA,FACULDADE DE MEDICINA ESTÁCIO DE CASTANHAL (24687),0,751.84,690.36,711.64
PA,MARABÁ,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE MARABÁ (13040),5,738.68,762.64,754.40
PA,REDENÇÃO,MEDICINA,FACULDADE INTEGRADA CARAJÁS (14901),4,761.02,681.54,629.02
PA,SANTARÉM,MEDICINA,CENTRO UNIVERSITÁRIO DA AMAZÔNIA (757),5,743.40,699.10,703.14
PA,SANTARÉM,MEDICINA,FACULDADE SANTA TERESA DE SANTARÉM (26835),5,,689.12,587.64
PB,CAMPINA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO FACISA (1334),5,770.92,740.14,770.38
PB,CAMPINA GRANDE,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CAMPINA GRANDE (3879),5,,725.74,
PB,JOÃO PESSOA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA (2082),4,772.76,740.28,755.64
PB,JOÃO PESSOA,MEDICINA,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (352),5,780.24,722.08,748.60
PB,JOÃO PESSOA,MEDICINA,FACULDADE DE MEDICINA NOVA ESPERANÇA (1995),5,781.26,727.66,763.58
PB,PATOS,MEDICINA,CENTRO UNIVERSITÁRIO DE PATOS (3304),4,789.94,731.22,
